ID,Label
output-000000692.jpg,84 515 355 603 type-3
output-000000312.jpg,627 417 686 467 type-2 868 415 1225 638 type-3 84 537 359 610 type-3
output-000000103.jpg,436 434 694 670 type-3 868 415 1225 638 type-3 1141 467 1279 607 type-3 106 523 355 611 type-3
output-000000542.jpg,72 492 370 608 type-3
output-000000394.jpg,223 398 269 450 type-2 868 415 1225 638 type-3 89 518 402 620 type-3
output-000000148.jpg,510 429 759 670 type-3 868 415 1225 638 type-3 84 511 353 609 type-3
output-000000358.jpg,653 395 731 454 type-2 868 415 1225 638 type-3 0 435 436 625 type-3
output-000000353.jpg,696 399 751 454 type-2 868 415 1225 638 type-3 84 537 359 610 type-3
output-000000352.jpg,696 399 751 454 type-2 868 415 1225 638 type-3 84 537 359 610 type-3
output-000000309.jpg,655 418 706 466 type-2 868 415 1225 638 type-3 84 537 359 610 type-3
output-000000207.jpg,948 399 993 450 type-2 868 415 1225 638 type-3 84 511 353 609 type-3
output-000000423.jpg,1002 398 1264 638 type-3 89 518 402 620 type-3
output-000000089.jpg,719 585 764 624 type-0 436 434 694 670 type-3 868 415 1225 638 type-3 0 467 421 607 type-3
output-000000002.jpg,436 434 694 670 type-3 868 415 1225 638 type-3 85 513 367 629 type-3
output-000000302.jpg,540 585 660 640 type-1 800 423 860 467 type-2 868 415 1225 638 type-3 84 537 359 610 type-3
output-000000440.jpg,1135 386 1279 638 type-3 89 518 402 620 type-3
output-000000176.jpg,566 595 625 635 type-0 617 577 670 607 type-0 829 439 1279 573 type-3 868 415 1225 638 type-3 84 511 353 609 type-3
output-000000121.jpg,860 545 894 590 type-0 9 410 32 443 type-2 436 434 694 670 type-3 868 415 1225 638 type-3 402 451 711 543 type-3 95 514 356 622 type-3
output-000000195.jpg,529 397 587 456 type-2 868 415 1225 638 type-3 84 511 353 609 type-3
output-000000005.jpg,436 434 694 670 type-3 868 415 1225 638 type-3 80 520 392 637 type-3
output-000000521.jpg,722 429 777 490 type-2 96 508 381 605 type-3 1010 552 1053 599 type-4 1210 447 1256 498 type-4
output-000000712.jpg,88 507 346 605 type-3
output-000000290.jpg,1128 425 1182 475 type-2 868 415 1225 638 type-3 84 537 359 610 type-3
output-000000699.jpg,590 574 653 631 type-0 84 515 355 603 type-3
